,game_id,event,tournament_name,number_of_moves
0,88f34084-e4df-4908-b381-9502ca65e9bf,FIDE WCh KO,FideChamp2002,129
1,a27c2b95-fb62-4b63-afc4-60bd5aced6d6,FIDE-Wch k.o.,FideChamp1998,6
