,game_id,event,player_name
63,13489422-f2da-4b33-9127-2d83120c8f41,FIDE WCh KO,"Lesiege,A"
64,135f70a5-e093-4e88-ab76-7269cc826e36,FIDE WCh KO,"Azmaiparashvili,Z"
65,1431868f-364c-4d5e-b927-7f074d086bd6,FIDE WCh KO,"Bologan,V"
66,14d0dcf4-356e-4ec8-a8ba-e430f1dcf699,FIDE WCh KO,"Vladimirov,E"
67,15b90b94-cdcb-486a-8231-256f99b950b0,World Championship 7th,"Lasker, Emanuel"
68,15dd3d53-a900-4469-9c86-b272b7471e90,World Championship 17th,"Euwe, Max"
69,160c83eb-2c3a-405c-9b5e-e7f476d7435b,FIDE-Wch k.o.,"Lautier, Joel"
70,1688609f-8a41-42b3-8208-a24e4df192bd,World Championship 35th-KK5,"Kasparov, Gary"
71,16c31090-91dc-4465-a510-75ae7dc9d6ee,FIDE WCh KO,"Beliavsky,A"
72,16c54de2-794d-4e9f-81f4-06dca2898ec0,FIDE WCh KO,"Anastasian,A"
73,16f5ed00-a83c-4360-adda-e9582524de4e,FIDE-Wch k.o.,"Rublevsky, Sergei"
74,16f928bd-87cd-443b-96c4-1c183377eff7,FIDE WCh KO,"Nikolic,Pr"
75,1713d71d-8d83-46aa-a5d7-69bd2237053e,FIDE WCh KO,"Leko,P"
76,173e0dc6-0a12-4c0a-864a-304bfe3090f2,FIDE-Wch k.o.,"Shirov, Alexei"
77,17612b00-d748-4060-8576-840e2bd74a26,FIDE WCh KO,"Grischuk,A"
78,17c5717d-d5a7-445e-98b7-1f1cbba4773b,FIDE-Wch k.o.,"Milos, Gilberto"
79,18ae5bb7-ee2f-4c23-a9cd-c6d7e1d614c9,FIDE WCh KO,"Zvjaginsev,V"
80,19280350-c336-4030-b05a-bb7592d35f04,FIDE WCh KO,"Smirin,I"
81,1958fa27-95de-4380-ae5d-0c04707fa7ef,World Championship 21th,"Smyslov, Vassily"
82,198d42f3-8169-43c5-a0b6-e1550cdf8984,FIDE-Wch k.o.,"Georgiev, Kiril"
83,1a81319b-2679-4ceb-a9af-0d0013209aa0,FIDE WCh KO,"Galkin,A"
84,1aa6f757-fd41-42c7-9eed-f0c490f4dcff,FIDE WCh KO,"Wojtkiewicz,A"
