,game_id,event,tournament_name,number_of_moves
0,58e83255-93bb-4d58-8c14-78a991419338,WCh 2021,WorldChamp2021,136
1,1846cede-0037-4f04-9dc2-bf948cf08d72,World Championship 28th,WorldChamp1972,1
